ntmpi,ntomp,Performance,GPU Count
12,6,208.411,1
12,4,252.966,3
12,4,236.336,2
4,1,76.76,1
12,6,237.99,2
4,1,79.588,2
12,4,182.656,1
12,6,266.705,3
2,8,176.692,2
12,2,198.122,3
4,10,223.988,1
16,8,105.13,1
4,12,256.21,2
12,2,188.121,2
2,8,177.563,3
2,8,169.782,1
4,10,239.054,2
4,12,247.473,1
16,8,148.661,2
12,2,164.038,1
8,10,194.315,2
12,10,143.871,2
2,10,186.036,1
4,2,118.811,1
2,12,212.244,3
2,12,210.537,2
12,12,116.463,1
8,12,147.185,1
8,10,185.245,1
12,10,110.466,1
2,10,194.895,2
4,2,122.531,2
12,12,175.81,3
2,12,197.8,1
12,12,176.704,2
2,10,192.98,3
12,1,141.769,2
4,4,168.403,1
8,8,251.574,2
1,8,156.458,1
4,6,221.936,2
12,1,149.138,3
4,4,182.09,2
12,1,127.131,1
1,8,156.579,2
1,8,154.853,3
4,6,196.69,1
8,6,236.901,2
1,6,120.984,1
1,4,82.898,3
16,10,84.853,1
1,4,82.81,2
16,12,126.129,2
4,8,227.964,2
8,4,201.918,1
8,6,213.61,1
1,6,120.734,2
16,10,125.517,2
1,4,83.224,1
16,12,90.029,1
1,6,117.543,3
4,8,219.901,1
8,4,211.462,2
1,2,45.981,3
2,1,45.194,1
16,1,148.433,2
8,2,162.951,1
1,2,45.955,2
2,1,46.051,2
16,1,124.829,1
2,1,46.029,3
1,2,46.281,1
2,6,158.799,2
16,4,204.157,2
2,6,156.814,3
2,4,121.592,1
2,4,124.89,3
2,6,152.37,1
16,4,162.611,1
16,6,131.765,2
2,4,126.039,2
16,2,176.861,2
8,1,112.592,1
12,8,122.033,1
1,10,185.418,2
1,1,23.849,2
2,2,74.361,1
1,12,205.8,1
1,1,23.857,3
1,10,180.38,3
8,1,119.003,2
16,2,149.809,1
12,8,161.246,2
1,10,186.521,1
1,1,23.763,1
1,12,208.445,3
2,2,75.26,3
2,2,76.222,2
1,12,216.393,2
12,8,175.516,3
