ntmpi,ntomp,Performance,GPU Count
4,4,277.399,1
4,4,291.521,2
4,4,310.318,4
4,6,329.462,1
4,6,307.441,2
4,6,370.466,4
4,8,311.186,1
4,8,368.279,2
4,8,386.702,4
4,10,301.05,1
4,10,339.974,2
4,10,276.432,4
4,12,235.097,1
4,12,414.567,4
8,4,293.756,1
8,4,349.086,2
8,6,302.588,1
8,6,329.818,2
8,6,431.105,4
8,8,321.431,1
8,8,315.364,2
8,10,242.937,1
8,12,154.828,1
8,12,193.526,2
8,12,255.824,4
12,4,269.278,1
12,4,333.393,2
12,4,343.44,3
12,4,368.013,4
12,6,276.549,1
12,6,335.176,2
12,6,407.136,3
12,6,449.512,4
12,8,145.224,1
12,8,202.87,2
12,8,261.767,3
12,10,151.319,1
12,10,160.988,2
12,10,192.428,3
12,10,168.412,4
12,12,123.077,1
12,12,248.509,2
12,12,197.797,3
12,12,255.226,4
16,4,273.755,1
16,4,347.979,2
16,6,136.331,1
16,6,189.714,2
16,6,279.991,4
16,8,122.687,1
16,8,214.229,2
16,10,187.007,4
16,12,91.686,1
16,12,141.158,2
16,12,186.627,4
